name,type,tag,lat,lng,isMainOffice,isMdi,bilingual_Services,credit_Builder,financial_Counseling,first_Time_Homebuyer_Program,inSchoolBranch,low_cost_wire_transfers,no_Cost_Tax_Preparation,no_Cost_Share_Drafts,payday_alternative_loans,quality,type_label,tag_label,GEOID20,grantee
7-Eleven,grocery,convenience,39.308232,-76.4450024,,,,,,,,,,,,,Grocery,Convenience,24005450504,True
Exxon,grocery,convenience,39.3124443,-76.449067,,,,,,,,,,,,,Grocery,Convenience,24005450504,True
Safeway,grocery,supermarket,38.9700252,-76.5228827,,,,,,,,,,,,,Grocery,Supermarket,24003702500,True
Spicklers Market,grocery,convenience,39.6429047,-77.7187358,,,,,,,,,,,,,Grocery,Convenience,24043000500,True
Angkor Supermarket,grocery,supermarket,38.9928633,-76.9922145,,,,,,,,,,,,,Grocery,Supermarket,24031702000,True
7-Eleven,grocery,convenience,38.992679,-76.9926197,,,,,,,,,,,,,Grocery,Convenience,24031702000,True
La Casa del Pueblo,grocery,convenience,39.314967,-76.4527555,,,,,,,,,,,,,Grocery,Convenience,24005450501,True
Soda Pop Shop,grocery,convenience,39.2255094,-76.5886245,,,,,,,,,,,,,Grocery,Convenience,24510250500,True
Tierda Mexicana Velasquez,grocery,convenience,38.566751,-76.0781078,,,,,,,,,,,,,Grocery,Convenience,24019970500,True
Black Water,grocery,bakery,38.5689678,-76.0775733,,,,,,,,,,,,,Grocery,Bakery,24019970500,True
E. G. Webster and Sons,grocery,supermarket,38.5626597,-76.0808667,,,,,,,,,,,,,Grocery,Supermarket,24019970600,True
Baltimore Farmers Market & Bazaar,grocery,farm,39.2934389,-76.6102415,,,,,,,,,,,,,Grocery,Farm,24510280500,True
Cinco de Mayo Dos,grocery,convenience,39.2854776,-76.5986561,,,,,,,,,,,,,Grocery,Convenience,24510030100,True
Piedigrotta Italian Bakery,grocery,bakery,39.2865013,-76.5986571,,,,,,,,,,,,,Grocery,Bakery,24510030100,True
Giant,grocery,supermarket,38.948528,-76.4866919,,,,,,,,,,,,,Grocery,Supermarket,24003706303,True
Ocean City Seafood,grocery,seafood,38.9992392,-77.0035675,,,,,,,,,,,,,Grocery,Seafood,24031702301,True
A Plus Grocery,grocery,convenience,39.3175321,-76.6114802,,,,,,,,,,,,,Grocery,Convenience,24510120300,True
Giant,grocery,supermarket,39.3577163,-76.706514,,,,,,,,,,,,,Grocery,Supermarket,24510280101,True
Hilltop Shopping Center,grocery,convenience,39.347542,-76.689012,,,,,,,,,,,,,Grocery,Convenience,24510271801,True
Perez International Foods,grocery,grocery,39.4349479,-76.3190481,,,,,,,,,,,,,Grocery,Grocery,24025301301,True
Grocery Outlet,grocery,supermarket,39.4342767,-76.3157726,,,,,,,,,,,,,Grocery,Supermarket,24025301302,True
Tienda Naturista Playa Ventura,grocery,convenience,39.3114461,-76.4675935,,,,,,,,,,,,,Grocery,Convenience,24005450501,True
You & I International Market,grocery,convenience,39.435676,-76.3071281,,,,,,,,,,,,,Grocery,Convenience,24025301302,True
Drew's Crab Shack,grocery,seafood,39.4426383,-76.3157685,,,,,,,,,,,,,Grocery,Seafood,24025301301,True
Save-A-Lot,grocery,supermarket,38.8344218,-76.9587753,,,,,,,,,,,,,Grocery,Supermarket,24033801808,True
Clifton Food Market,grocery,convenience,39.3205201,-76.5916403,,,,,,,,,,,,,Grocery,Convenience,24510090700,True
Druid Hill Farmers Market,grocery,marketplace,39.3178788,-76.6459117,,,,,,,,,,,,,Grocery,Marketplace,24510130400,True
Johns Hopkins Hospital Farmers Market,grocery,marketplace,39.2961875,-76.5974267,,,,,,,,,,,,,Grocery,Marketplace,24510280500,True
Motzi Bread,grocery,bakery,39.3221674,-76.6128346,,,,,,,,,,,,,Grocery,Bakery,24510120300,True
ALDI,grocery,supermarket,38.6211566,-76.9139707,,,,,,,,,,,,,Grocery,Supermarket,24017850901,True
ALDI,grocery,supermarket,39.41489,-77.4445461,,,,,,,,,,,,,Grocery,Supermarket,24021750505,True
Southern Steel Shelving Company,grocery,wholesale,39.3207557,-76.6076422,,,,,,,,,,,,,Grocery,Wholesale,24510090400,True
Shoppers Food & Pharmacy,grocery,supermarket,39.3169249,-76.6523214,,,,,,,,,,,,,Grocery,Supermarket,24510150500,True
Granny's,grocery,convenience,39.3175826,-76.6553493,,,,,,,,,,,,,Grocery,Convenience,24510150500,True
7-Eleven,grocery,convenience,39.2539072,-76.6176501,,,,,,,,,,,,,Grocery,Convenience,24510250203,True
Package Deals Plus,grocery,butcher,39.2539708,-76.6174669,,,,,,,,,,,,,Grocery,Butcher,24510250203,True
